prev,curr,n
1556_Shaanxi_earthquake,Lists_of_earthquakes,1
1556_Shaanxi_earthquake,Seismic_magnitude_scales,1
1700_Cascadia_earthquake,1906_San_Francisco_earthquake,1
1700_Cascadia_earthquake,2004_Indian_Ocean_earthquake_and_tsunami,1
1700_Cascadia_earthquake,List_of_earthquakes_in_the_United_States,1
1700_Cascadia_earthquake,List_of_tsunamis,1
1700_Cascadia_earthquake,Megathrust_earthquake,1
1755_Lisbon_earthquake,List_of_tsunamis,1
1755_Lisbon_earthquake,Lists_of_earthquakes,1
1755_Lisbon_earthquake,Modified_Mercalli_intensity_scale,1
1755_Lisbon_earthquake,Moment_magnitude_scale,1
1755_Lisbon_earthquake,Tsunami,1
1886_Charleston_earthquake,List_of_earthquakes_in_the_United_States,1
1906_San_Francisco_earthquake,1989_Loma_Prieta_earthquake,1
1906_San_Francisco_earthquake,2014_South_Napa_earthquake,1
1906_San_Francisco_earthquake,Fault_(geology),1
1906_San_Francisco_earthquake,List_of_earthquakes_in_the_United_States,1
1906_San_Francisco_earthquake,Modified_Mercalli_intensity_scale,1
1906_San_Francisco_earthquake,Moment_magnitude_scale,1
1906_San_Francisco_earthquake,Richter_magnitude_scale,1
1906_San_Francisco_earthquake,San_Andreas_Fault,1
1925_serum_run_to_Nome,Balto,1
1925_serum_run_to_Nome,Iditarod_Trail_Sled_Dog_Race,1
1925_serum_run_to_Nome,Mushing,1
1925_serum_run_to_Nome,"Nome,_Alaska",1
1958_Lituya_Bay_earthquake_and_megatsunami,Fault_(geology),1
1958_Lituya_Bay_earthquake_and_megatsunami,List_of_earthquakes_in_Alaska,1
1958_Lituya_Bay_earthquake_and_megatsunami,List_of_tsunamis,1
1958_Lituya_Bay_earthquake_and_megatsunami,Modified_Mercalli_intensity_scale,1
1960_Valdivia_earthquake,2010_Chile_earthquake,1
1960_Valdivia_earthquake,Aleutian_Islands,1
1960_Valdivia_earthquake,Lists_of_earthquakes,1
1960_Valdivia_earthquake,Megathrust_earthquake,1
